47,0.0,533,7.508,0,0.0,0,0,425,0,012X022,0,0,0,2004,0,4,0.0,0.0,1,3,2,0,0,0.0,0.0,0
396,0.0,0,4.651,0,0.0,0,0,475,0,11065WK06100,0,0,1,2004,0,4,0.0,0.0,1,0,6,0,0,0.0,0.0,0
489,0.0,0,4.343,0,0.0,0,0,1594,0,3.0294E+11,0,0,0,2004,0,4,0.0,0.0,1,0,1,0,0,0.3,3.347,0
0,0.0,0,72.06,1,0.0,0,0,1886,0,CAXTIX000002,0,0,0,2004,1,0,0.0,0.0,1,5,2,0,0,0.0,0.0,0
324,0.0,00CY2075,2.249,0,0.0,0,0,3203,0,5.3023E+11,0,0,0,2004,0,3,0.0,0.182,5,7,6,0,0,0.329,4.99,0
330,0.0,1,2.473,0,0.0,0,0,1681,0,1.90703E+11,0,0,0,2004,0,3,0.0,0.0,0,3,6,0,0,0.04,0.2,0
142,0.0,0,5.359,0,0.0,0,0,478,0,2.81001E+11,39,0,1,2004,0,4,0.0,0.0,1,0,3,0,0,0.0,6.331,0
0,0.0,93,2.533,4,0.0,1,0,2382,0,P00005027047,100,0,0,2004,4,0,0.0,0.1,9,2,4,0,0,1.4,27.503,0
170,0.0,592,1.244,0,0.0,0,0,3349,0,592003012,0,0,0,2004,0,3,0.0,0.0,0,3,6,0,0,0.17,4.847,0
200,0.0,44,1.033,0,0.0,1,0,3976,0,2621,100,0,0,2004,0,0,0.0,0.0,8,1,2,4,0,0.64,5.44,1
355,0.0,34,4.797,0,0.0,0,0,1278,0,S-0034001477,0,0,0,2004,0,3,0.0,0.0,5,3,5,0,0,0.0,6.228,0
0,0.0,9,15.838,1,0.0,0,0,1499,0,7.8005E+11,90,0,0,2004,1,0,0.0,1.0,12,3,3,0,0,2.0,6.983,0
13,0.0,102,12.655,0,0.0,0,0,341,0,27482E0102AB,0,0,1,2004,0,4,0.0,0.0,3,7,6,0,0,0.0,1.11,0
0,0.0,0,2.007,0,0.0,0,0,1634,0,8280001061,0,0,0,2004,0,4,0.0,0.0,1,0,3,0,0,0.341,0.0,0
276,0.0,346,2.733,0,0.0,0,0,1554,0,3.701E+11,0,0,0,2004,0,4,0.0,0.0,1,3,4,0,0,0.22,13.969,0
0,0.0,67,23.778,1,0.0,1,0,2129,0,2100106050,0,0,0,2004,4,0,0.0,0.4,4,3,5,0,0,1.773,14.51,0
0,0.0,0,9.877,2,0.0,0,0,1612,0,6756000000,0,0,0,2004,2,0,0.0,0.0,11,0,3,0,0,0.0,0.0,0
0,0.0,0,8.319,0,0.0,0,0,1385,0,84610001200,0,0,0,2004,0,4,0.0,0.0,1,0,6,0,0,0.6,1.931,0
0,0.0,0,6.903,0,0.0,0,0,1359,0,11065Y850125,0,0,0,2004,0,4,0.0,0.0,2,0,1,0,0,0.0,8.626,0
